videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId
puqaWrEC7tY,"if you don’t know “look at this photograph, everytime I do it makes me laugh” then u can’t be my friend :’(((","if you don’t know “look at this photograph, everytime I do it makes me laugh” then u can’t be my friend :’(((",Jeanie Nguyen,https://yt3.ggpht.com/ytc/AGIKgqMXieTJxKDTlRszkbc5Ysps8S9nB4dbRiWxIBXkXg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC-SBH4J80mn5KpR3mkbMobg,{'value': 'UC-SBH4J80mn5KpR3mkbMobg'},True,none,0,2018-10-02T20:57:08Z,2018-10-02T20:57:08Z,,Ugxrz7XhVLSEJX2roRd4AaABAg
puqaWrEC7tY,I love nickleback,I love nickleback,xX_lilDragon_Xx,https://yt3.ggpht.com/ytc/AGIKgqNIwygOkvA66l6Fd0pJZMf6T9IcZNCg0r4mX5oeOA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCDyljd_ab7ARNwUfFcrQf3w,{'value': 'UCDyljd_ab7ARNwUfFcrQf3w'},True,none,0,2018-10-02T19:37:22Z,2018-10-02T19:37:22Z,,Ugx-vS8_XvyeQpLXAd94AaABAg
puqaWrEC7tY,Rhett only hates nickleback because its the &quot;cool&quot; thing to do. If any other band sang those exact songs you wouldn&#39;t have any problems with it.<br> Link<br>You&#39;re the man<br> You know talent when you hear it. Love u guys,"Rhett only hates nickleback because its the ""cool"" thing to do. If any other band sang those exact songs you wouldn't have any problems with it.
 Link
You're the man
 You know talent when you hear it. Love u guys",Jimmy Larsen,https://yt3.ggpht.com/ytc/AGIKgqM-81EF3fWAs_rG0YYTZSsC7mU8M1mUg3fjU6ku-w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCnXB4ieH5E8vJb8TNMusHcA,{'value': 'UCnXB4ieH5E8vJb8TNMusHcA'},True,none,0,2018-09-30T23:01:25Z,2018-09-30T23:01:25Z,,UgzQV43eAyyI-dIhtF14AaABAg
puqaWrEC7tY,Rhett starts the real lyrics.... I sing on until Link answers! From The State to Dark Horse Nickelback was my jam!!! Not to mention that silverside up was the first Album I ever owned!!!,Rhett starts the real lyrics.... I sing on until Link answers! From The State to Dark Horse Nickelback was my jam!!! Not to mention that silverside up was the first Album I ever owned!!!,Thom Stark,https://yt3.ggpht.com/ytc/AGIKgqPl8wQA7YPy1IfhKgNybY-ha18pw_rW6ppEZ_D6=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCe7AN5W35d2r-HEhTzCPy5Q,{'value': 'UCe7AN5W35d2r-HEhTzCPy5Q'},True,none,0,2018-09-27T00:19:44Z,2018-09-27T00:19:44Z,,Ugww3yUqflw3C_Whrah4AaABAg
puqaWrEC7tY,I think Nickleback is good idk why people hate it so much,I think Nickleback is good idk why people hate it so much,Flaming Dread,https://yt3.ggpht.com/UWk86RL9KAEgP5RlWZnJTAvZQuRkPywzkqpqitU1GvNE-R7hLgLMRv4iE1J-47fkXoeOEEjFYw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbGxf0thlcQrpETxgfOeAzg,{'value': 'UCbGxf0thlcQrpETxgfOeAzg'},True,none,0,2018-09-26T04:01:54Z,2018-09-26T04:01:54Z,,UgzFHYV9SqRt_GdaVLV4AaABAg
puqaWrEC7tY,Nickelback is my favorite. I love them. Why don&#39;t they?!,Nickelback is my favorite. I love them. Why don't they?!,Kennedy Housley,https://yt3.ggpht.com/ytc/AGIKgqPuBxJareTzILDg34YNL10u2p_Yb6Fq9-qhmkg1=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCBEVj8UYgzXH5sYsUP06NQ,{'value': 'UCCBEVj8UYgzXH5sYsUP06NQ'},True,none,0,2018-09-25T22:33:16Z,2018-09-25T22:33:16Z,,UgxeUFjejoChtNzNhpV4AaABAg
puqaWrEC7tY,I love Nickelback and still listen to it,I love Nickelback and still listen to it,Demitrious Salvatore,https://yt3.ggpht.com/ytc/AGIKgqMaYGF_mXH6PjpH9BBYrX1W9jpUXc1BrdvlGDDg8A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgNDh5GsnrHzrLNO4QSTUVQ,{'value': 'UCgNDh5GsnrHzrLNO4QSTUVQ'},True,none,0,2018-09-25T06:20:58Z,2018-09-25T06:20:58Z,,Ugyi7f-VEXBQ8dDDeFh4AaABAg
puqaWrEC7tY,Okay but I expected them to know nickelback and puddle of mudd????,Okay but I expected them to know nickelback and puddle of mudd????,stefani miller,https://yt3.ggpht.com/ytc/AGIKgqMBA1D0ASN0DBqTFZGvsD-mZRebhZtTMUF__NDLzg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCElrrJ2dzvYi3TpEQMYXQVw,{'value': 'UCElrrJ2dzvYi3TpEQMYXQVw'},True,none,0,2018-09-25T02:00:31Z,2018-09-25T02:00:31Z,,UgyfW8D3ERgJApWuqGV4AaABAg
puqaWrEC7tY,"Most of us are focusing on the game, But not realizing Links Lip Singing Talent.","Most of us are focusing on the game, But not realizing Links Lip Singing Talent.",Swiggah,https://yt3.ggpht.com/XFKpItAsFkS1zg0-JzTrDumS_6S4PdxnhKc7x5bmtkvcZEIi8Q-ltLylC0VbRCEi-ljpMq6sww=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCg-mtvGEJSUfCgzgdl979Cg,{'value': 'UCg-mtvGEJSUfCgzgdl979Cg'},True,none,1,2018-09-24T21:35:14Z,2018-09-24T21:35:14Z,,UgwFF_hT-DD6w3j2Vv54AaABAg
puqaWrEC7tY,Why we still hating on Nickelback,Why we still hating on Nickelback,Terry Erdos,https://yt3.ggpht.com/ytc/AGIKgqO0AdCNb7HLeyeV34uzy1ulCgkbDLRLHQfGmw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCqrfZY8MwC2CTHPPW_KxS3Q,{'value': 'UCqrfZY8MwC2CTHPPW_KxS3Q'},True,none,0,2018-09-24T06:12:29Z,2018-09-24T06:12:29Z,,UgzEsdat6aAvIdjTPJp4AaABAg
